Aug 18 2023,id,fullName,country,age,rating2,rating1,KDDiff,maps,rounds,kills,deaths,KDRatio,HSRatio,adr,ratingTop20,ratingYear,clutchesTotal,teams,majorsWon,majorsPlayed,LANsWon,LANsPlayed,MVPs,top20s,top10s,topPlacement
RobbaN,2,Robert Dahlström,Sweden,38,N/A,0.91,-6,3,75,35,41,0.85,48.6,26.5,0.73,"{""2015"":1.26,""2016"":0.75}",2,"[""6667/FaZe"",""5995/G2""]",0,0,0,0,0,0,0,N/A
Friis,7,Michael Jørgensen,Denmark,34,N/A,1.01,747,938,24254,16356,15609,1.05,26.3,69.4,0.95,"{""2012"":0.95,""2013"":1.01,""2014"":1.01,""2015"":1.01,""2016"":0.98,""2017"":1.06,""2018"":1.02,""2019"":0.91}",306,"[""7743/OPAA"",""8944/Memorable"",""8490/TOXIC"",""8420/meNikmati"",""7998/Gux & Friends"",""4602/Tricked"",""7175/Heroic"",""7059/X"",""6137/SK"",""4742/Nostalgie"",""4548/CPH Wolves"",""4593/CPLAY"",""5758/myXMG"",""5737/unu.AiN"",""5208/Reason"",""5831/Isak"",""5449/NO SIR!"",""4623/fnatic""]",0,2,0,28,0,0,0,N/A
zonic,21,Danny Sørensen,Denmark,37,N/A,0.75,-110,20,563,275,385,0.71,41.8,59.4,0.87,"{""2015"":0.66,""2016"":0.79,""2017"":0.86}",4,"[""6665/Astralis"",""5422/Dignitas""]",0,1,0,0,0,0,0,N/A
ave,24,Alexander Holdt,Denmark,35,0.94,N/A,-3,1,30,1,4,0.25,0,11.5,0.94,"{""2018"":0.74}",1,"[""7533/North""]",0,3,3,19,0,0,0,N/A
cArn,28,Patrik Sättermon,Sweden,N/A,N/A,0.73,-3,1,30,0,3,0,0,N/A,N/A,"{""2014"":0.73}",0,"[""4991/fnatic""]",0,0,0,0,0,0,0,N/A
f0rest,29,Patrik Lindberg,Sweden,35,N/A,1.1,5649,2106,54781,41297,35648,1.16,51.9,76.3,1.06,"{""2012"":1.38,""2013"":1.28,""2014"":1.14,""2015"":1.09,""2016"":1.09,""2017"":1.05,""2018"":1.04,""2019"":1.07,""2020"":1.05,""2021"":1.06,""2022"":0.98}",630,"[""4991/fnatic"",""12135/boomer demons"",""5133/Sweden"",""11984/ex-Finest"",""11937/NEO's Team"",""5422/Dignitas"",""4411/Ninjas in Pyjamas"",""9190/Team West"",""6134/Kinguin"",""4857/All-Stars Europe"",""5586/GO4Serbia""]",1,12,23,105,8,4,3,2
naSu,35,Niko Kovanen,Finland,33,N/A,0.9,-388,220,5862,3543,3931,0.9,46.7,67.5,0.87,"{""2012"":0.91,""2013"":0.81,""2014"":1.04,""2015"":0.88,""2016"":0.88,""2017"":1.02,""2018"":0.65}",84,"[""7175/Heroic"",""5824/RatsOfTheYear"",""4869/ENCE"",""4475/ROCCAT"",""6344/MIXCAT"",""5727/ENCORE"",""4576/Menace"",""5840/naSu's team"",""4631/Curse"",""4612/Hawks""]",0,0,0,5,0,0,0,N/A
THREAT,37,Björn Pers,Sweden,35,N/A,0.78,-236,54,1435,745,981,0.76,39.5,53.2,0.73,"{""2015"":0.82,""2016"":0.74,""2018"":0.47,""2020"":0.54}",17,"[""4411/Ninjas in Pyjamas"",""9517/Team smooya"",""6031/Acer""]",0,1,0,0,0,0,0,N/A
GeT_RiGhT,39,Christopher Alesund,Sweden,33,N/A,1.09,4269,1749,45122,33312,29043,1.15,49.3,76.5,1.04,"{""2012"":1.47,""2013"":1.33,""2014"":1.15,""2015"":1.1,""2016"":1.09,""2017"":1.01,""2018"":0.94,""2019"":0.88,""2020"":0.96,""2021"":0.93,""2022"":0.68}",610,"[""11407/Team GeT_RiGhT"",""12135/boomer demons"",""5133/Sweden"",""9735/Lilmix"",""5422/Dignitas"",""10495/FACEIT Level Tenz"",""4494/MOUZ"",""4411/Ninjas in Pyjamas"",""10149/Team ROTW"",""9956/Western Titans"",""9190/Team West"",""6901/Europe All-Stars"",""6578/Play It Cool All-Stars"",""6134/Kinguin"",""5828/Jynttä"",""4857/All-Stars Europe"",""5585/GO4Balkan""]",1,12,23,99,10,4,2,1
pronax,41,Markus Wallsten,Sweden,32,N/A,0.89,-2267,1199,31403,18722,20989,0.89,45.8,64.7,0.83,"{""2012"":0.86,""2013"":0.99,""2014"":0.93,""2015"":0.9,""2016"":0.86,""2017"":0.83,""2018"":0.83,""2019"":0.81}",306,"[""6902/GODSENT"",""6685/Ancient"",""9791/ROG pronax"",""9720/Monopol"",""7823/fightclub"",""7701/Imperial"",""9085/Chaos"",""8721/Enyoy"",""6418/KoN Sweden"",""8533/katjakaj&bentebent"",""8426/Kindest Regards"",""4804/AWTR"",""8301/YOY"",""7378/dreamchasers"",""4606/BX3"",""4991/fnatic"",""5133/Sweden"",""4983/n!faculty"",""4477/Publiclir.se"",""4488/Absolute Legends"",""4806/CAI"",""4776/atrc""]",3,8,13,45,0,0,0,N/A
BARBARR,44,André Möller,Sweden,33,N/A,0.99,-20,876,23180,15776,15796,1,42.7,74.8,1.03,"{""2012"":0.97,""2013"":0.81,""2015"":1.03,""2016"":1.07,""2017"":0.99,""2018"":0.98,""2019"":0.85,""2020"":0.79}",246,"[""10592/Wygers"",""9481/x6tence Galaxy"",""9382/Equals"",""6978/Singularity"",""4688/Epsilon"",""8426/Kindest Regards"",""6832/Iwku"",""6865/Escape"",""6405/Orgless"",""5745/Games4u"",""6675/PixelFire"",""6460/CSGO.one"",""6467/CSGOBESTPOT.com"",""5399/GreyFace"",""5319/Property"",""4804/AWTR"",""5999/ISKOLD"",""4887/Vikings"",""4445/FMESPORTS""]",0,0,0,3,0,0,0,N/A
trace,58,Martin Heldt,Denmark,33,N/A,0.97,8,125,3109,2017,2009,1,51,73.8,N/A,"{""2012"":0.99,""2013"":0.96,""2018"":0.97}",23,"[""8944/Memorable"",""4623/fnatic""]",0,0,0,6,0,0,0,N/A
nooky,77,Andre Utesch,Germany,37,N/A,0.96,-44,192,4994,3274,3318,0.99,46.9,88.1,N/A,"{""2012"":0.94,""2013"":1.01,""2014"":0.9,""2016"":1.25,""2018"":1.18,""2019"":1.02}",61,"[""8695/ROG nooky"",""5195/Planetkey"",""4494/MOUZ"",""5143/Germany"",""5333/hudzGs TEAM"",""4901/3DMAX"",""4500/logiX"",""4913/swog"",""4497/mTw""]",0,0,0,0,0,0,0,N/A
approx,92,Manuel Zeitz,Germany,36,N/A,0.94,-112,129,3332,2057,2169,0.95,36.2,N/A,N/A,"{""2012"":1,""2013"":0.9,""2014"":0.93,""2015"":1}",31,"[""4689/EYES ON U"",""4501/ALTERNATE aTTaX"",""4901/3DMAX"",""4913/swog"",""4494/MOUZ""]",0,0,0,0,0,0,0,N/A
